Arnold
Beeston
Bingham
Bleasby
Boughton
Brinsley
Bulcote
Bulwell
Burton Joyce
Calverton
Carlton
Caunton
Caythorpe
Clipston
Colston Bassett
Cotgrave
Cotham
East Bridgford
East Stoke
Eastwood
Edingley
Edwalton
Epperstone
Farnsfield
Farndon
Fiskerton
Flintham
Gamston
Gedling
Gotham
Greasley
Gringley on the Hill
Gunthorpe
Halam
Halloughton
Harby
Hawksworth
Hickling
Holme Pierrepont
Hucknall
Kelham
Keyworth
Kilvington
Kimberley
Kingston on Soar
Kinoulton
Kirkby-in-Ashfield
Kirklington
Kneesall
Lambley
Langar
Laxton
Linby
Littleborough
Lowdham
Mansfield
Mansfield Woodhouse
Market Warsop
Mattersey
Misk Hills
Misterton
Morton
New Ollerton
Newark-on-Trent
Normanton on Soar
Normanton on Trent
North Clifton
North Leverton with Habblesthorpe
Nottingham
Nuthall
Old Basford
Oxton
Papplewick
Perlethorpe
Plumtree
Radcliffe on Trent
Rainworth
Rampton
Ravenshead
Retford
Ruddington
Scrooby
Selston
Shelford
Sibthorpe
Skegby
Southwell
Stanton Hill
Stapleford
Staunton
Stoke Bardolph
Sutton Bonington
Sutton in Ashfield
Sutton on Trent
Tithby
Tollerton
Tuxford
Underwood
Upton
Walesby
Walkeringham
Warsop
West Bridgford
Whatton
Widmerpool
Winkburn
Winthorpe
Woodborough
Worksop
