Asian or Asian British: Indian
Asian or Asian British: Pakistani
Asian or Asian British:: Bangladeshi
Asian or Asian British: Any other Asian background
Asian or Asian British: Chinese
Asian or Asian British: Any other Asian bankground
Black, Black British, Caribbean or African: Caribbean
Black, Black British, Caribbean or African: African
Black, Black British, Caribbean or African: Any other Black, Black British, or Caribbean background
Mixed or multiple ethnic groups: White and Black Caribbean
Mixed or multiple ethnic groups: White and Black African
Mixed or multiple ethnic groups: White and Asian
Mixed or multiple ethnic groups: Any other Mixed or multiple ethnic background
White: English, Welsh, Scottish, Northern Irish or British
White: Irish
White: Gypsy or Irish Traveller
White: Roma
White: Any other White background
Other ethnic group: Arab
Other ethnic group: Any other ethnic group
Other
